Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,1,0.9096,0.9459,0.8791,0.9113,0.9527
Logistic Regression,2,0.9095,0.9415,0.8835,0.9116,0.9511
Logistic Regression,3,0.9081,0.9378,0.8847,0.9104,0.9528
Logistic Regression,4,0.9113,0.9366,0.8925,0.914,0.9561
Logistic Regression,5,0.9079,0.9391,0.8829,0.9101,0.9525
Decision Tree,1,0.9302,0.9749,0.8908,0.9309,0.9739
Decision Tree,2,0.9308,0.977,0.8899,0.9314,0.975
Decision Tree,3,0.9334,0.9811,0.8911,0.9339,0.9748
Decision Tree,4,0.938,0.9738,0.907,0.9392,0.9743
Decision Tree,5,0.9267,0.9759,0.8829,0.9271,0.9755
Random Forest,1,0.9365,0.9705,0.9073,0.9378,0.9784
Random Forest,2,0.9376,0.9694,0.9105,0.939,0.9794
Random Forest,3,0.9371,0.9682,0.9108,0.9386,0.9779
Random Forest,4,0.942,0.9705,0.918,0.9435,0.9799
Random Forest,5,0.9291,0.9604,0.9029,0.9308,0.9786
