Feature,Mean_importance,SD_importance
total_assessments,0.2261910144283677,0.005212745643815538
mean_weight,0.15412498930422552,0.0046521283592327834
mean_score,0.041162404330547187,0.0018398555176175422
code_module,0.03204399464409231,0.002560258845177331
code_presentation,0.0019960938543780783,0.0008146719751666076
gender,0.001932763605865151,0.0005314275821782463
region,0.0017988597307935007,0.0005663670351486066
age_band,0.001642347827863555,0.000735633626010144
studied_credits,0.00157846743381852,0.0005244504358686094
imd_band,0.001523952399985129,0.0007200306256579856
highest_education,0.0008969659319237211,0.0008094865720120033
num_of_prev_attempts,-0.0001556462156791616,0.00058396726235062
disability,-0.0003778492051111582,0.000421097460911841
