Feature,Importance
numeric__total_assessments,0.310712957880924
numeric__mean_weight,0.2597895077278609
numeric__mean_score,0.19845478647577064
numeric__studied_credits,0.019458994754128378
categorical__code_module_FFF,0.013846293457275559
categorical__code_module_DDD,0.008270609517496539
categorical__highest_education_Lower Than A Level,0.008042977682778299
categorical__code_presentation_2014J,0.007925209238680193
numeric__num_of_prev_attempts,0.007778663491162538
categorical__code_presentation_2013B,0.007646129926716043
categorical__code_module_CCC,0.007066180395057134
categorical__code_module_EEE,0.006983547410003434
categorical__code_module_BBB,0.006602426180438757
categorical__code_module_GGG,0.006097423692241523
categorical__code_presentation_2013J,0.005563231258721771
categorical__highest_education_A Level or Equivalent,0.005114982942067904
categorical__code_presentation_2014B,0.005046165021565329
categorical__gender_M,0.005035819482524392
categorical__gender_F,0.004802854063455311
categorical__age_band_0-35,0.004569638029001298
categorical__imd_band_20-30%,0.0044246401901326836
categorical__imd_band_0-10%,0.0044183955771623365
categorical__age_band_35-55,0.004350004221412204
categorical__region_London Region,0.004339099304040202
categorical__region_East Anglian Region,0.004111232464079446
categorical__imd_band_10-20,0.003967952217829856
categorical__imd_band_50-60%,0.003940779503759221
categorical__imd_band_30-40%,0.0038943692338747516
categorical__region_North Western Region,0.003871327614705021
categorical__imd_band_40-50%,0.003786088269479501
categorical__region_East Midlands Region,0.0037534760538524663
categorical__imd_band_70-80%,0.0037103026452586937
categorical__region_Scotland,0.00368873870723454
categorical__code_module_AAA,0.0036205176415594316
categorical__region_South Region,0.0035833621057394785
categorical__region_West Midlands Region,0.0035161001334963094
categorical__imd_band_60-70%,0.0034792056241425592
categorical__imd_band_80-90%,0.003435837240102848
categorical__highest_education_HE Qualification,0.0034114906505432214
categorical__region_Wales,0.003341503463521743
categorical__imd_band_90-100%,0.0033112538145630634
categorical__region_South West Region,0.003025817706254618
categorical__region_Yorkshire Region,0.003021914564621706
categorical__disability_Y,0.0029727119789481156
categorical__region_South East Region,0.0029276816049061375
categorical__disability_N,0.002814075129302312
categorical__region_Ireland,0.0024945372077640805
categorical__region_North Region,0.0024093538251891444
categorical__highest_education_No Formal quals,0.0006992909742396512
categorical__highest_education_Post Graduate Qualification,0.0004898890820731548
categorical__age_band_55<=,0.00038065262234139086
